GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,org.cardanofoundation.authentication.controller,BookMarkController,42,0,0,0,7,0,6,0,6,0
auth-service,org.cardanofoundation.authentication.controller,AuthController,39,0,0,0,7,0,6,0,6,0
auth-service,org.cardanofoundation.authentication.controller,UserController,33,0,0,0,5,0,5,0,5,0
auth-service,org.cardanofoundation.authentication.controller,NoteController,34,0,0,0,6,0,5,0,5,0
auth-service,org.cardanofoundation.authentication.controller,VerifyMailController,24,0,0,0,6,0,4,0,4,0
auth-service,org.cardanofoundation.authentication.config.redis.cluster,RedisClusterConfig,68,0,0,0,17,0,5,0,5,0
auth-service,org.cardanofoundation.authentication.model.response.auth,NonceResponse,27,0,0,0,4,0,6,0,6,0
auth-service,org.cardanofoundation.authentication.model.response.auth,RefreshTokenResponse.RefreshTokenResponseBuilder,36,0,0,0,1,0,6,0,6,0
auth-service,org.cardanofoundation.authentication.model.response.auth,NonceResponse.NonceResponseBuilder,27,0,0,0,1,0,5,0,5,0
auth-service,org.cardanofoundation.authentication.model.response.auth,RefreshTokenResponse,168,0,30,0,5,0,27,0,12,0
auth-service,org.cardanofoundation.authentication.model.response.auth,SignInResponse.SignInResponseBuilder,54,0,0,0,1,0,8,0,8,0
auth-service,org.cardanofoundation.authentication.model.response.auth,SignInResponse,57,0,0,0,7,0,12,0,12,0
auth-service,org.cardanofoundation.authentication.config,WebConfig,38,0,0,0,4,0,2,0,2,0
auth-service,org.cardanofoundation.authentication.config,AuthTokenFilter,102,0,2,0,17,0,6,0,5,0
auth-service,org.cardanofoundation.authentication.config,ExceptionHandlerFilter,107,0,2,0,31,0,5,0,4,0
auth-service,org.cardanofoundation.authentication.config,RsaConfig,99,0,0,0,17,0,19,0,19,0
auth-service,org.cardanofoundation.authentication.config,OpenApiConfig,48,0,0,0,7,0,2,0,2,0
auth-service,org.cardanofoundation.authentication.config,AuthEntryPointJwt,17,0,0,0,5,0,3,0,3,0
auth-service,org.cardanofoundation.authentication.config,ThreadPoolConfig,31,0,0,0,4,0,2,0,2,0
auth-service,org.cardanofoundation.authentication.config,WebSecurityConfig,73,0,0,0,14,0,5,0,5,0
auth-service,org.cardanofoundation.authentication.util,NonceUtils,32,34,0,0,7,9,1,2,1,2
auth-service,org.cardanofoundation.authentication.aop,UserAspect,66,0,2,0,16,0,6,0,5,0
auth-service,org.cardanofoundation.authentication.service.impl,UserHistoryServiceImpl,25,0,0,0,6,0,3,0,3,0
auth-service,org.cardanofoundation.authentication.service.impl,BookMarkServiceImpl,264,0,10,0,53,0,14,0,9,0
auth-service,org.cardanofoundation.authentication.service.impl,VerifyServiceImpl,197,0,14,0,34,0,12,0,5,0
auth-service,org.cardanofoundation.authentication.service.impl,RefreshTokenServiceImpl,69,0,2,0,15,0,8,0,7,0
auth-service,org.cardanofoundation.authentication.service.impl,AuthenticationServiceImpl,301,107,17,1,62,19,14,6,5,6
auth-service,org.cardanofoundation.authentication.service.impl,WalletServiceImpl,69,0,0,0,14,0,4,0,4,0
auth-service,org.cardanofoundation.authentication.service.impl,PrivateNoteServiceImpl,166,0,6,0,34,0,11,0,8,0
auth-service,org.cardanofoundation.authentication.service.impl,UserServiceImpl,421,0,20,0,94,0,31,0,20,0
auth-service,org.cardanofoundation.authentication.model.entity,WalletEntity,124,0,10,0,19,0,26,0,21,0
auth-service,org.cardanofoundation.authentication.model.entity,UserEntity,124,0,10,0,19,0,24,0,19,0
auth-service,org.cardanofoundation.authentication.model.entity,WalletEntity.WalletEntityBuilder,81,0,0,0,1,0,11,0,11,0
auth-service,org.cardanofoundation.authentication.model.entity,BookMarkEntity.BookMarkEntityBuilder,54,0,0,0,1,0,8,0,8,0
auth-service,org.cardanofoundation.authentication.model.entity,RoleEntity,51,0,10,0,11,0,12,0,7,0
auth-service,org.cardanofoundation.authentication.model.entity,PrivateNoteEntity,84,0,10,0,15,0,18,0,13,0
